GeneID	AS_1ngS1_3	AS_1ngS1_4	AS_1ngS1_8	AS_1ngS1_7	AS_1ngS1_6	AS_1ngS1_2	AS_1ngS1_5	AS_1ngS1_1	AS_1ngS2_3	AS_1ngS2_1	AS_1ngS2_4	AS_1ngS2_2	AS_1ngS2_5	AS_1ngS2_7	AS_1ngS2_8	AS_1ngS2_6
ENSG00000090621.13	1	3	1	1	0	1	0	0	4	1	1	0	1	1	2	1
ENSG00000084072.16	10	7	4	3	4	5	5	2	5	1	5	5	5	6	4	6
ENSG00000116985.10	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000043514.15	1	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0
ENSG00000131236.16	8	1	4	7	6	3	3	7	6	6	5	11	3	4	6	5
ENSG00000131238.16	12	8	6	2	13	13	6	7	13	6	3	7	2	6	5	5
ENSG00000259943.1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000084073.8	4	2	5	0	2	3	0	2	8	1	7	3	2	2	1	3
ENSG00000272145.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000066136.19	2	1	4	1	4	0	1	2	0	0	1	1	0	0	0	3
ENSG00000179862.6	3	4	0	1	3	3	4	0	0	3	3	1	2	2	2	2
ENSG00000171793.13	1	1	2	0	2	0	2	1	0	3	2	0	0	2	0	3
ENSG00000198815.8	4	0	1	1	1	2	2	1	1	2	0	4	3	3	3	2
ENSG00000127125.8	5	10	10	7	7	8	4	8	7	6	4	8	4	6	5	4
ENSG00000171960.10	4	3	3	6	3	2	2	4	5	3	0	1	3	3	2	4
ENSG00000065978.17	47	18	27	26	40	27	22	27	26	28	30	24	17	18	20	31
ENSG00000177868.11	1	3	0	1	3	4	1	2	3	2	0	3	0	1	1	1
ENSG00000117394.19	1	0	1	1	1	3	0	1	0	0	1	0	1	0	0	2
ENSG00000117395.10	10	11	11	12	15	8	11	6	10	9	5	11	5	8	9	10
ENSG00000117399.13	2	4	2	3	1	0	2	1	0	5	2	8	1	2	3	1
ENSG00000159479.16	2	4	4	2	9	4	1	2	2	1	3	2	0	2	3	3
ENSG00000229372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000178922.16	4	5	2	4	6	1	1	6	4	2	6	8	2	6	1	3
ENSG00000142949.16	1	1	0	1	0	1	0	2	2	2	1	2	1	0	2	1
ENSG00000117410.13	28	27	22	22	21	18	18	19	30	19	14	16	11	15	20	23
ENSG00000230615.6	0	3	0	0	0	1	0	0	1	2	0	0	1	0	2	0
ENSG00000178028.13	1	2	2	1	0	0	2	0	1	0	0	2	1	1	1	1
ENSG00000117419.14	5	5	4	3	4	8	10	5	5	1	2	3	6	1	1	2
ENSG00000187147.17	1	2	2	0	2	2	2	0	1	0	1	2	1	0	1	2
ENSG00000142945.12	2	3	2	2	1	0	1	0	0	2	1	3	1	1	1	2
ENSG00000142937.11	112	99	99	98	134	106	88	78	97	74	98	85	64	75	82	106
ENSG00000070785.16	6	3	3	1	2	3	2	2	2	2	0	2	1	5	0	4
ENSG00000126088.12	5	8	6	4	5	6	3	2	7	4	4	6	4	6	7	13
ENSG00000186603.5	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0
ENSG00000132781.17	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000132773.11	0	2	1	0	0	1	2	0	1	1	0	2	1	0	1	2
ENSG00000117450.13	119	118	106	109	171	116	104	110	101	83	94	105	74	83	78	104
ENSG00000132763.14	0	5	0	0	3	1	1	2	1	1	0	2	1	0	0	0
ENSG00000117448.13	7	7	5	10	11	8	7	2	4	5	4	10	5	7	7	11
ENSG00000132780.16	3	2	4	5	4	7	3	3	4	3	3	2	8	4	1	7
ENSG00000159592.10	0	1	0	2	1	1	0	0	0	0	0	2	0	3	2	1
ENSG00000159596.6	1	2	4	3	2	5	4	2	1	1	2	2	1	1	3	1
ENSG00000197429.10	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3
ENSG00000117472.9	4	1	1	0	3	3	1	2	2	3	4	1	1	1	1	4
ENSG00000173660.11	124	99	76	100	150	115	80	103	101	81	94	92	60	95	83	140
ENSG00000117481.10	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
ENSG00000079277.19	3	2	3	5	1	2	3	3	1	1	1	3	1	0	1	3
ENSG00000123472.12	1	1	3	3	8	3	3	5	3	3	4	3	7	2	6	6
ENSG00000159658.10	3	0	2	0	0	0	1	3	1	1	2	0	3	1	1	2
ENSG00000224805.2	0	3	0	0	0	1	0	0	2	0	0	0	0	2	0	1
ENSG00000162368.13	2	2	7	5	7	1	0	3	2	5	1	5	1	1	3	3
ENSG00000185104.19	2	3	1	2	3	1	0	1	1	0	1	2	3	5	3	1
ENSG00000123080.10	5	8	6	3	4	6	3	4	6	5	6	4	4	7	4	5
ENSG00000123091.4	3	0	0	1	0	0	1	1	3	0	1	0	2	2	2	2
ENSG00000085832.16	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000227070.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000117859.18	2	3	1	2	3	3	3	1	2	1	3	2	2	3	3	2
ENSG00000078618.19	4	7	5	2	4	6	4	3	5	2	6	6	2	8	5	5
ENSG00000117862.11	6	1	4	7	12	13	1	4	11	5	4	10	4	2	9	7
ENSG00000198841.3	0	0	0	0	3	0	1	0	0	0	0	2	0	0	0	2
ENSG00000134717.17	11	9	7	3	11	1	8	6	7	6	6	7	2	7	1	6
ENSG00000157077.14	1	1	1	0	0	0	0	0	0	1	0	3	0	0	0	0
ENSG00000085840.12	0	0	0	0	2	0	0	1	0	0	1	0	0	0	1	0
ENSG00000134748.12	2	2	3	3	4	1	3	1	5	3	3	5	0	3	2	2
ENSG00000134744.13	3	3	1	3	4	2	2	3	2	2	2	5	4	4	1	2
ENSG00000162377.5	0	2	1	2	3	2	0	0	3	1	1	2	3	1	2	1
ENSG00000162378.12	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000203995.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000121310.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116171.16	6	6	5	7	8	3	6	5	5	6	1	4	2	5	6	9
ENSG00000157184.5	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1
ENSG00000162384.13	6	2	3	3	2	4	3	4	2	3	5	4	1	3	0	2
ENSG00000162385.10	1	2	4	3	2	3	4	2	3	5	3	5	3	2	2	2
ENSG00000058804.11	1	1	0	1	2	0	1	0	2	1	1	1	0	1	0	0
ENSG00000058799.13	0	0	2	1	1	2	0	0	0	1	1	2	0	0	0	1
ENSG00000081870.11	21	30	24	13	32	16	11	12	16	17	18	15	9	20	15	20
ENSG00000116212.14	2	3	1	0	1	0	2	0	0	2	1	6	2	2	2	2
ENSG00000116209.11	19	20	25	24	25	28	25	19	28	18	17	20	16	20	18	23
ENSG00000116205.10	1	0	0	0	0	1	3	0	1	0	1	3	0	1	1	0
ENSG00000116221.15	8	15	7	7	7	10	9	4	8	13	11	16	9	8	13	6
ENSG00000243725.6	1	1	1	0	0	0	2	0	0	0	0	0	2	2	1	0
ENSG00000116133.11	0	1	0	0	2	1	0	1	1	0	1	4	1	0	2	0
ENSG00000169174.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162600.11	1	1	1	0	1	1	0	1	1	0	0	1	0	0	0	1
ENSG00000162601.9	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1
ENSG00000134709.10	1	2	1	0	2	0	0	1	1	0	0	2	0	0	0	1
ENSG00000162599.15	3	0	0	1	4	0	2	1	0	0	1	4	2	2	0	1
ENSG00000162604.12	6	4	4	1	6	2	3	1	1	3	1	4	3	1	1	3
ENSG00000162607.12	4	2	5	3	4	6	2	2	5	2	3	11	3	2	2	6
ENSG00000116641.15	0	0	0	0	1	0	0	1	0	2	0	2	0	1	0	0
ENSG00000125703.14	1	2	1	0	2	2	2	0	1	0	1	0	0	0	0	1
ENSG00000088035.15	0	1	2	0	4	2	1	1	0	0	1	2	0	2	0	2
ENSG00000142856.16	4	3	4	7	1	1	7	2	2	3	2	3	1	2	0	6
ENSG00000079739.15	1	1	1	0	6	3	0	1	1	0	2	2	2	2	0	1
ENSG00000162434.11	4	6	6	6	3	5	3	4	6	3	6	11	3	2	3	3
ENSG00000162433.14	1	1	0	0	2	1	2	1	2	1	0	2	1	1	0	0
ENSG00000213625.8	1	1	1	3	2	2	2	6	6	2	1	6	1	4	4	3
ENSG00000198160.14	1	0	1	3	2	3	1	0	1	3	3	4	1	3	3	3
ENSG00000142864.14	18	15	19	13	30	25	17	9	16	14	11	24	10	14	29	21
ENSG00000116717.11	2	4	1	1	1	1	2	0	0	0	1	0	1	1	1	5
ENSG00000172380.5	4	2	2	4	2	2	5	5	3	4	5	8	4	1	3	2
ENSG00000116729.13	0	0	0	0	2	2	0	1	1	0	2	0	0	3	0	1
ENSG00000024526.16	6	1	4	2	2	2	5	0	1	1	1	4	4	3	2	4
ENSG00000066557.5	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	1
ENSG00000116754.13	9	7	10	6	10	7	8	5	14	7	5	9	4	11	7	12
ENSG00000118454.12	1	0	0	1	1	1	1	0	0	1	3	0	0	1	1	3
ENSG00000197568.13	0	0	1	0	2	0	0	0	0	0	2	0	1	1	0	0
ENSG00000116761.11	1	1	1	1	0	1	0	1	0	0	0	0	0	0	1	2
ENSG00000132485.12	11	16	10	13	10	13	9	10	12	12	3	13	6	13	4	15
ENSG00000116791.13	0	0	3	1	3	2	0	3	2	0	2	4	1	1	2	1
ENSG00000162623.15	1	4	5	5	6	4	2	1	4	1	4	7	2	2	2	2
ENSG00000117054.13	2	2	1	3	3	1	1	6	5	0	2	3	0	2	2	3
ENSG00000137955.15	2	3	4	4	5	2	3	2	3	4	4	4	2	4	2	2
ENSG00000142892.14	1	0	3	3	4	1	1	1	1	3	2	6	2	1	1	0
ENSG00000226084.5	0	0	0	0	1	1	1	0	1	0	0	0	0	0	2	0
ENSG00000221664.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000036549.12	0	0	2	0	0	0	0	0	0	1	2	3	1	1	0	0
ENSG00000077254.14	3	1	0	2	0	2	4	0	1	0	2	3	2	0	2	4
ENSG00000180488.14	0	1	1	0	2	0	1	1	0	0	0	1	1	1	1	2
ENSG00000162613.16	4	2	1	4	6	2	4	3	5	3	3	2	6	2	0	3
ENSG00000273338.1	0	2	0	2	0	1	0	0	0	0	1	0	1	0	0	0
ENSG00000162616.8	3	2	0	1	1	2	0	0	2	0	0	3	1	0	0	4
