Variable	GG_1ngS1_1	GG_1ngS1_2	GG_1ngS1_3	GG_1ngS1_4	GG_1ngS1_5	GG_1ngS1_6	GG_1ngS1_7	GG_1ngS1_8	GG_1ngS2_1	GG_1ngS2_2	GG_1ngS2_3	GG_1ngS2_4	GG_1ngS2_5	GG_1ngS2_6	GG_1ngS2_7	GG_1ngS2_8
ENSG00000186715.10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000159363.17	2	0	0	2	0	1	0	0	1	0	0	0	1	1	0	1
ENSG00000117118.9	19	14	25	24	9	27	14	19	21	16	19	18	12	13	15	6
ENSG00000117115.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000204362.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000179051.13	0	1	0	1	2	2	1	1	0	1	1	1	1	0	1	1
ENSG00000074964.16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ENSG00000117148.7	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000159423.16	0	0	0	0	1	3	0	1	0	0	1	0	0	0	0	0
ENSG00000169991.10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272084.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000127481.14	0	1	1	1	0	2	0	0	1	3	0	0	1	1	0	0
ENSG00000230424.1	0	0	0	0	1	5	0	1	0	1	1	1	0	0	0	1
ENSG00000053372.4	6	5	2	4	2	8	3	3	3	12	4	3	3	5	5	2
ENSG00000127463.13	0	0	0	0	0	0	1	0	2	0	0	1	1	0	1	1
ENSG00000053371.12	2	4	6	6	6	14	8	7	2	12	7	4	7	9	6	5
ENSG00000040487.12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000077549.17	10	8	13	11	15	15	15	7	9	12	13	10	9	11	5	6
ENSG00000201609.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270136.5	60	81	96	57	56	73	58	65	66	66	76	53	42	81	59	54
ENSG00000226396.1	1	1	1	3	0	1	0	5	0	3	1	1	2	0	0	1
ENSG00000158747.13	2	1	2	0	1	1	2	1	4	4	2	0	0	3	1	0
ENSG00000162542.13	1	1	1	0	0	0	1	0	1	2	0	0	0	0	0	0
ENSG00000169914.5	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0
ENSG00000090432.6	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0
ENSG00000158825.5	17	15	21	15	20	33	17	16	15	19	17	23	15	14	11	12
ENSG00000158828.5	1	1	2	0	0	0	1	0	1	2	1	0	0	0	0	3
